Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
3180,2.132,28497,21736,14288,22309,0.0957081,0.0711329,0.633297
3200,2.132,28516,21758,14312,22332,0.0883256,0.0701928,0.441535
3220,2.131,28528,21774,14330,22345,0.0802604,0.0410797,0.384656
3240,2.177,28533,21784,14340,22349,0.0501549,0.0165202,0.310411
3260,2.174,28534,21791,14347,22347,0.0875243,0.0170807,0.272979
3280,2.158,28533,21797,14351,22341,0.0410516,0.0117462,0.11591
3300,2.148,28534,21803,14355,22335,-0.01275,0.00289837,-0.0927793
3320,2.158,28538,21812,14361,22330,-0.0207714,-0.0190696,-0.322335
3340,2.193,28546,21825,14370,22330,-0.0457773,-0.0443165,-0.34498
3360,2.377,28560,21842,14384,22336,-0.0778698,-0.0568512,-1.03131
3380,2.66,28581,21864,14403,22349,0.0583557,-0.0823693,-0.868621
3400,2.936,28607,21890,14427,22369,0.025057,-0.0920417,-0.650904
3420,3.075,28637,21919,14455,22396,0.0674159,-0.0559184,-0.782058
3440,3.06,28670,21949,14484,22427,0.140348,-0.0205636,-0.530299
3460,2.966,28702,21978,14513,22459,0.111873,0.00351155,-0.576812
3480,2.821,28731,22004,14539,22491,0.209054,0.0332252,-0.489101
3500,2.645,28754,22023,14559,22519,0.133559,0.0405869,-0.44587
3520,2.449,28768,22034,14571,22539,0.128863,0.0620167,-0.267023
3540,2.339,28772,22034,14573,22550,0.145716,0.0597263,-0.225356
3560,2.27,28763,22024,14564,22547,0.0966412,0.0416756,-0.265898
3580,2.242,28741,22001,14542,22531,0.159534,0.0214882,0.0681106
3600,2.235,28706,21967,14507,22501,0.139353,0.00261895,0.197681
3620,2.209,28660,21923,14461,22457,0.0957265,0.0174421,0.074454
3640,2.208,28603,21869,14405,22400,0.12816,0.0133982,0.11924
3660,2.237,28538,21808,14342,22333,0.108564,0.0119613,0.278233
3680,2.27,28469,21744,14273,22259,0.109305,0.0157837,0.303541
3700,2.323,28398,21678,14203,22181,0.0815896,0.00814865,0.173498
3720,2.352,28329,21614,14134,22103,0.100205,0.0123901,0.284002
3740,2.353,28264,21554,14069,22027,0.160228,0.00881872,0.310983
3760,2.324,28206,21500,14010,21958,0.0995249,0.00461303,0.140604
3780,2.317,28157,21454,13961,21898,0.0815117,-0.00600834,0.274858
3800,2.272,28119,21417,13921,21848,0.0530756,-0.0332729,0.279006
3820,2.214,28092,21390,13892,21811,-0.0241612,-0.0374132,0.199724
3840,2.201,28075,21372,13874,21787,-0.0727725,-0.0403603,0.105692
3860,2.177,28070,21364,13867,21776,-0.102617,-0.0191546,0.0995393
3880,2.174,28073,21363,13869,21776,-0.134925,0.00245707,0.0754989
3900,2.174,28085,21370,13880,21788,-0.156737,0.0111174,0.022487
3920,2.163,28103,21381,13897,21809,-0.164553,0.0292704,0.120967
3940,2.207,28125,21396,13920,21838,-0.20069,0.032977,0.117411
3960,2.243,28151,21414,13946,21872,-0.215066,0.0404928,-0.0474254
3980,2.253,28178,21434,13974,21910,-0.165634,0.0382699,-0.0154975
4000,2.258,28204,21454,14003,21950,-0.201985,0.0287177,-0.0701135
4020,2.257,28230,21473,14032,21989,-0.164092,0.0300542,-0.0857811
4040,2.242,28254,21492,14060,22027,-0.101936,0.0179263,0.162525
4060,2.243,28276,21510,14085,22063,-0.113903,0.00494261,0.160308
4080,2.363,28295,21527,14108,22094,-0.0618421,0.00433883,0.239168
4100,2.642,28312,21542,14129,22122,-0.0488589,0.00181215,0.162794
4120,2.965,28326,21556,14147,22144,-0.00210605,0.0166226,0.134855
4140,3.172,28338,21569,14162,22163,0.0275434,0.0287701,0.181336
4160,3.189,28349,21582,14175,22177,0.0526115,0.0314549,0.208231
4180,3.154,28358,21594,14186,22188,0.041446,0.0233705,0.174603
4200,2.992,28366,21605,14195,22196,-0.0213753,-0.00295071,-0.123258
4220,2.768,28375,21617,14204,22202,0.00926873,-0.0220814,-0.215663
4240,2.562,28385,21629,14212,22207,0.083182,-0.0447071,0.00458874
4260,2.444,28395,21642,14220,22213,0.0435259,-0.0444548,-0.16105
4280,2.372,28407,21655,14228,22219,0.0237581,-0.0477116,-0.377272
4300,2.32,28420,21669,14237,22226,-0.00386927,-0.0624126,-0.347538
4320,2.285,28435,21683,14246,22234,0.0382294,-0.0612558,-0.18628
4340,2.214,28450,21697,14255,22242,0.0396864,-0.0430839,-0.265393
4360,2.221,28465,21710,14264,22251,0.032274,-0.0211768,-0.250989
4380,2.243,28479,21721,14271,22259,0.0567809,1.36E-05,-0.0949806
4400,2.271,28490,21730,14277,22265,0.0448375,0.00387044,-0.063142
4420,2.303,28499,21736,14280,22269,0.0780263,0.0160572,0.0697558
4440,2.358,28503,21738,14280,22270,0.0478321,0.00836004,0.0822151
4460,2.381,28503,21736,14277,22267,0.0307493,-0.000211865,0.0452061
4480,2.37,28498,21729,14270,22260,0.0140511,-0.0102543,0.197842
4500,2.335,28488,21719,14260,22248,-0.0192367,-0.0121043,0.178513
4520,2.3,28473,21705,14247,22233,0.0223394,-0.0110424,0.249217
4540,2.256,28454,21688,14232,22214,-0.0517969,-0.0258439,0.184176
4560,2.226,28433,21670,14216,22194,-0.074812,-0.0406839,-0.043209
4580,2.211,28412,21652,14199,22172,-0.0602733,-0.0460066,-0.0556755
4600,2.191,28391,21635,14184,22152,-0.0868412,-0.0534885,-0.0613584
4620,2.195,28372,21620,14170,22133,-0.0429824,-0.0518841,-0.0904325
4640,2.207,28356,21608,14159,22117,-0.0318933,-0.0656486,-0.166873
4660,2.218,28345,21599,14152,22105,0.00709868,-0.0578547,-0.0374369
4680,2.19,28339,21595,14148,22098,0.00706722,-0.0439624,-0.0979853
4700,2.215,28338,21595,14148,22095,-0.00335636,-0.0245161,-0.278388
4720,2.242,28341,21599,14152,22097,0.0545427,-0.0117716,-0.192007
