Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
4120,2024,25134,15178,21448,14868,0.00845402,0.115923,-0.277789
4140,2024,25125,15166,21429,14861,-0.0359475,-0.0174356,-0.364172
4160,2024,25122,15161,21421,14862,-0.0199082,-0.00385611,-0.11088
4180,2024,25125,15159,21420,14867,0.0373425,0.0169511,0.0514916
4200,-2017,25131,15160,21423,14876,0.0745478,0.0863333,0.00225143
4220,-1971,25139,15164,21430,14886,-0.0614579,0.135179,0.212184
4240,-2017,25150,15169,21441,14898,-0.0840194,0.0426544,0.146421
4260,-2017,25163,15175,21455,14913,-0.0265273,-0.0441036,-0.0289155
4280,-2017,25179,15184,21473,14929,0.0398566,-0.0415621,0.108047
4300,-2017,25196,15194,21494,14946,0.133812,0.0857146,0.428994
4320,-2017,25216,15207,21517,14963,0.018512,0.0753193,0.280075
4340,-2017,25236,15221,21538,14977,-0.115072,-0.0823107,-0.0394006
4360,-2017,25252,15233,21556,14988,-0.0548521,-0.0466939,0.300568
4380,-2021,25266,15242,21570,14995,-0.0217444,0.02573,0.399121
4400,-2022,25276,15249,21580,15000,0.0259239,0.0277819,0.298044
4420,-2018,25286,15255,21590,15005,-0.00522091,-0.0939177,-0.177037
4440,-2017,25296,15262,21599,15012,-0.118572,-0.100856,-0.167282
4460,-2021,25308,15271,21611,15019,0.0220302,-0.159751,-0.0502858
4480,-2021,25324,15281,21624,15029,0.028625,-0.143959,-0.358215
4500,-2017,25341,15293,21638,15039,0.0537886,0.0497585,-0.00519009
4520,-2022,25358,15304,21651,15050,0.0769956,-0.0183231,-0.0863768
4540,-2022,25376,15315,21664,15062,-0.0749839,-0.187299,-0.633091
4560,-2017,25393,15324,21676,15075,0.0176133,-0.171866,-0.59452
4580,-2022,25411,15335,21691,15091,0.126271,0.0825923,0.128957
4600,-2022,25433,15347,21709,15109,0.0646643,0.195551,0.10293
4620,-2017,25456,15362,21729,15128,-0.0595683,0.0449362,-0.344183
4640,-2017,25479,15376,21748,15146,-0.0122447,0.0576038,-0.0486759
4660,-2022,25498,15388,21762,15160,0.0287147,0.0621411,0.208226
4680,-2022,25512,15395,21772,15170,0.0333208,0.000966898,-0.14628
4700,-2017,25517,15398,21774,15174,0.0119443,0.115408,-0.0294459
4720,-2018,25516,15396,21770,15171,-0.0668774,0.101676,0.303895
4740,-2022,25510,15390,21761,15163,-0.069655,-0.0426801,-0.0209673
4760,1920,25500,15383,21748,15152,-0.0134167,-0.0786176,-0.169509
4780,2047,25487,15375,21734,15138,0.0635187,0.0347936,0.304525
