"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",
95.16,73.425,7.4873,-6.191,-0.63374,-0.95284,88.531,
96.16,71.411,-0.27827,0.65683,0.22762,0.3073,50.446,
96.16,71.411,-1.02,1.1351,-1.4069,1.1108,72.51,
96.16,71.411,-1.2787,-1.9111,1.4795,2.3671,70.862,
96.16,71.411,7.2142,-5.7205,-0.57675,-1.1738,71.045,
97.16,70.221,-0.52357,1.0039,0.15516,0.25854,49.713,
97.16,70.221,-1.0833,0.55141,-1.0134,1.4295,70.404,
97.16,70.221,-0.75267,-0.94842,1.0355,1.2504,70.587,
97.16,70.221,7.1727,-4.961,-1.1025,-1.52,48.157,
98.16,69.58,-0.15251,0.43272,0.33311,0.344,48.706,
98.16,69.58,-0.53079,-0.019086,-0.86211,1.5246,69.58,
98.16,69.58,0.71626,-3.71,1.9366,1.6953,70.496,
98.16,69.58,7.1772,-4.0704,-1.6243,-2.3075,112.24,
99.16,69.763,-0.10619,0.66967,0.12901,0.1734,46.326,
99.16,69.763,0.74773,-0.9634,-0.93803,1.2005,68.665,
99.16,69.763,2.8182,-2.2172,0.096916,-0.71642,67.932,
99.16,69.763,-1.6622,-2.0756,2.3204,2.4544,70.679,
100.16,70.496,0.2415,-0.35874,-0.51072,-0.42458,63.538,
100.16,70.496,0.49338,0.18387,0.50681,-1.5552,68.024,
100.16,70.496,-2.8226,1.4642,0.78258,0.97944,67.2,
100.16,70.496,0.10428,-2.7694,1.8168,1.5544,70.679,
101.16,72.601,-0.64251,-0.017378,-0.10408,-0.091889,64.911,
101.16,72.601,-1.2359,1.6711,0.6553,-0.84093,70.679,
101.16,72.601,-0.33658,-1.7406,1.8037,1.3619,73.334,
101.16,72.601,-3.7021,1.9043,0.81584,2.2064,63.904,
102.16,75.439,-0.58974,0.034758,-0.1552,-0.20024,65.369,
102.16,75.439,-0.11129,0.61142,0.73101,-1.0682,74.158,
102.16,75.439,0.16871,-1.1701,0.80109,0.60338,74.432,
102.16,75.439,-4.01,2.0509,1.3059,2.1857,64.453,
103.16,78.003,0.19428,0.46572,0.71535,0.47465,62.714,
103.16,78.003,1.2995,-1.6356,-0.57971,1.0716,76.447,
103.16,78.003,-1.61,-1.6102,1.925,2.4828,75.165,
103.16,78.003,-4.1353,2.5637,0.18983,1.9561,64.087,
104.16,79.834,0.65452,-0.80094,-0.27457,-0.35615,86.975,
104.16,79.834,-0.57833,-0.44034,-0.2378,1.0952,81.39,
104.16,79.834,-2.923,2.9884,-0.14872,-0.73354,66.467,
104.16,79.834,0.35234,-1.8833,1.8077,-0.071952,76.172,
105.16,80.75,-0.27454,0.99821,-0.011328,0.071148,85.052,
105.16,80.75,0.64411,0.47946,-0.94667,-0.3562,77.637,
105.16,80.75,2.5213,-3.384,0.26478,1.2601,66.01,
105.16,80.75,-1.1351,-0.21358,-1.3848,2.5471,82.214,
106.16,81.299,-0.18994,0.63223,-0.031833,0.40534,51.727,
106.16,81.299,0.61145,0.63674,-0.63202,-0.63168,59.143,
106.16,81.299,0.080642,0.17881,1.104,-1.184,81.573,
106.16,81.299,2.6394,-3.2595,0.63865,0.57424,51.361,
107.16,80.933,-0.15836,0.52814,-0.029956,0.48869,50.079,
107.16,80.933,0.60267,0.63459,-0.55804,-0.67277,60.333,
107.16,80.933,-0.07275,-0.11491,-1.2371,1.2222,81.39,
107.16,80.933,-2.9879,3.4589,-0.40397,-0.47679,49.988,
108.16,79.926,-0.20641,0.61396,-0.12008,0.52724,50.262,
108.16,79.926,0.4688,0.81306,-0.59311,-0.7061,59.418,
108.16,79.926,0.059183,0.0014431,1.3386,-1.1931,80.2,
108.16,79.926,3.0658,-3.3881,0.29037,0.49292,48.889,
109.16,78.003,-0.14568,0.50369,-0.00010922,0.47907,50.262,
109.16,78.003,0.72247,0.44068,-0.55588,-0.58228,59.601,
109.16,78.003,-0.287,0.032719,-1.2952,1.3182,79.01,
