Time(mS),ppg,LPF1,LPF2,LPF3,LPF4
13040,2.563,17760,12766,19689,11812
13060,2.512,17761,12767,19689,11811
13080,2.507,17761,12767,19690,11811
13100,2.53,17762,12768,19690,11811
13120,2.548,17763,12769,19691,11811
13140,2.527,17763,12769,19691,11812
13160,2.537,17764,12770,19692,11812
13180,2.617,17764,12770,19692,11812
13200,2.976,17765,12770,19692,11813
13220,3.473,17765,12770,19692,11813
13240,3.84,17765,12771,19691,11813
13260,3.926,17765,12770,19690,11813
13280,3.774,17764,12770,19689,11813
13300,3.525,17764,12770,19688,11813
13320,3.236,17763,12770,19687,11813
13340,3.001,17763,12769,19685,11813
13360,2.817,17761,12769,19684,11812
13380,2.733,17760,12768,19683,11812
13400,2.619,17759,12768,19681,11811
13420,2.542,17757,12767,19680,11811
13440,2.545,17754,12767,19679,11811
13460,2.605,17751,12766,19678,11810
13480,2.679,17748,12765,19678,11810
13500,2.752,17744,12763,19677,11809
13520,2.784,17740,12761,19676,11808
13540,2.846,17735,12759,19676,11807
13560,2.863,17729,12756,19675,11805
13580,2.812,17722,12753,19675,11804
13600,2.784,17715,12750,19675,11802
13620,2.726,17708,12746,19675,11800
13640,2.65,17700,12742,19675,11798
13660,2.631,17692,12738,19676,11795
13680,2.622,17683,12734,19677,11793
13700,2.614,17674,12729,19679,11791
13720,2.579,17666,12725,19680,11789
13740,2.607,17657,12721,19682,11787
13760,2.591,17648,12716,19685,11785
13780,2.601,17640,12712,19687,11783
13800,2.934,17632,12707,19689,11782
13820,3.431,17624,12703,19691,11780
13840,3.894,17617,12698,19692,11779
13860,4,17609,12693,19693,11778
13880,3.967,17603,12689,19694,11778
13900,3.785,17596,12684,19695,11777
13920,3.53,17590,12679,19695,11777
13940,3.284,17584,12675,19695,11778
13960,3.082,17578,12670,19695,11778
13980,2.945,17573,12666,19695,11779
14000,2.843,17568,12663,19695,11779
14020,2.777,17563,12659,19695,11780
14040,2.707,17558,12656,19695,11781
14060,2.642,17554,12654,19696,11781
14080,2.625,17550,12651,19697,11782
14100,2.699,17546,12650,19698,11782
14120,2.77,17542,12648,19699,11782
14140,2.814,17539,12647,19701,11782
14160,2.853,17536,12646,19703,11781
14180,2.831,17532,12646,19705,11781
14200,2.793,17530,12645,19708,11781
14220,2.728,17527,12645,19711,11780
14240,2.678,17524,12644,19713,11780
14260,2.594,17522,12644,19717,11780
14280,2.577,17520,12644,19720,11780
14300,2.53,17518,12644,19723,11780
14320,2.538,17516,12644,19727,11780
14340,2.506,17514,12644,19730,11781
14360,2.544,17512,12644,19733,11781
14380,2.538,17510,12644,19736,11782
14400,2.563,17509,12644,19739,11783
14420,2.639,17507,12644,19742,11783
14440,2.992,17506,12644,19744,11784
14460,3.506,17504,12644,19746,11784
14480,3.929,17502,12644,19747,11785
14500,3.995,17501,12643,19748,11785
14520,3.986,17499,12643,19749,11785
14540,3.819,17498,12642,19749,11785
14560,3.588,17496,12642,19748,11785
14580,3.337,17495,12641,19748,11785
14600,3.12,17493,12640,19747,11785
14620,3.017,17492,12640,19746,11785
14640,2.954,17490,12639,19745,11785
